id	objectName	roomName	taskName	frequency	workType	description	objectId	roomId
"cmgyu43ts00ybvyjo1ici4tq5"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная или сухая уборка столов"	"Ежедневно"	"Уборка"	"Влажная или сухая уборка столов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu42k600xhvyjooind65n1"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная наружная обработка шкафов"	"1 раз в 3 месяца"	"Уборка"	"Влажная наружная обработка шкафов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu42b300xbvyjoka8o27pd"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная обработка дверей (локально)"	"Еженедельно"	"Уборка"	"Влажная обработка дверей (локально)"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu424y00x7vyjoy6evp84z"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная обработка полов"	"ежедневно (1раз в день)"	"Уборка"	"Влажная обработка полов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5y3i0257vyjorlg2vxc9"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"влажная уборка"	"2 раза в неделю"	"Уборка"	"влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5ph201zlvyjowcizce78"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка"	"Еженедельно"	"Уборка"	"Влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5w2g023vvyjo93lsqwne"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка баннеров на входе"	"1 раз в квартал"	"Уборка"	"Влажная уборка баннеров на входе"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu43qr00y9vyjopcygv6i7"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка, дезинфекция пола"	"ежедневно (1 раз в день)"	"Уборка"	"Влажная уборка, дезинфекция пола"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu42wc00xpvyjomec8qj1x"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка, дезинфекция пола"	"Ежедневно"	"Уборка"	"Влажная уборка, дезинфекция пола"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu43hn00y3vyjoldm074nt"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная уборка диспенсеров"	"Ежедневно"	"Уборка"	"Влажная уборка диспенсеров"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu432f00xtvyjosnnpio1y"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная уборка и дезинфекция, удаление локальных загрязнений раковин и кранов"	"Ежедневно"	"Уборка"	"Влажная уборка и дезинфекция, удаление локальных загрязнений раковин и кранов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu43el00y1vyjo8r3jv28d"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка локальных загрязнений стен туалета"	"Еженедельно"	"Уборка"	"Влажная уборка локальных загрязнений стен туалета"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu60dm026pvyjo8oyp00ht"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Влажная уборка мебели"	"Еженедельно"	"Уборка"	"Влажная уборка мебели"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5osq01z5vyjowpmn062v"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Влажная уборка микроволновой печи с моющими средствами"	"Еженедельно"	"Уборка"	"Влажная уборка микроволновой печи с моющими средствами"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu604i026jvyjovfq9cmo4"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Влажная уборка микроволновой печи с моющими средствами"	"Еженедельно"	"Уборка"	"Влажная уборка микроволновой печи с моющими средствами"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5tp2022bvyjo38er3xy5"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка микроволновой печи с моющими средствами"	"Еженедельно"	"Уборка"	"Влажная уборка микроволновой печи с моющими средствами"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5x2z024jvyjosdwvghxc"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка наружной поверхности шкафчиков для одежды"	"Еженедельно"	"Уборка"	"Влажная уборка наружной поверхности шкафчиков для одежды"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu42q900xlvyjoc6797ulw"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Влажная уборка ножек стульев, крестовины, не рабочие поверхности столов"	"1 раз в 3 месяца"	"Уборка"	"Влажная уборка ножек стульев, крестовины, не рабочие поверхности столов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu428100x9vyjov5sidyq7"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Влажная уборка плинтусов"	"Еженедельно"	"Уборка"	"Влажная уборка плинтусов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu43wu00ydvyjo9llqqiii"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Влажная уборка подоконников"	"Еженедельно"	"Уборка"	"Влажная уборка подоконников"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu42n700xjvyjobkkjkl8z"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Влажная уборка подоконников"	"Еженедельно"	"Уборка"	"Влажная уборка подоконников"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu42e400xdvyjogf9zq8nk"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Влажная уборка радиаторов"	"Ежемесячно"	"Уборка"	"Влажная уборка радиаторов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu60al026nvyjoouz7s9ls"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная уборка холодильника с моющими средствами"	"1 раз в квартал"	"Уборка"	"Влажная уборка холодильника с моющими средствами"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu607j026lvyjowm8ztocv"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Влажная уборка чайника, термопода с моющими средствами"	"Еженедельно"	"Уборка"	"Влажная уборка чайника, термопода с моющими средствами"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5oah01ytvyjofj8nq9te"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Влажная уборка шкафчиков для одежды"	"1 раз в квартал"	"Уборка"	"Влажная уборка шкафчиков для одежды"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5t3s021xvyjorf64wojd"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Влажная уборка шкафчиков для одежды"	"1 раз в квартал"	"Уборка"	"Влажная уборка шкафчиков для одежды"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu43ko00y5vyjo637qod84"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Вынос мусора из мусорного контейнера"	"Ежедневно"	"Уборка"	"Вынос мусора из мусорного контейнера"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu42tb00xnvyjotenhosdf"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Вынос мусора из мусорного контейнера"	"Ежедневно"	"Уборка"	"Вынос мусора из мусорного контейнера"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu42zd00xrvyjowiucddf0"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Горизонтальные поверхности, сантехника дезинфекция"	"ежедневно (1раз в день)"	"Уборка"	"Горизонтальные поверхности, сантехника дезинфекция"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5ve2023fvyjososvm5ae"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Двери влажная уборка"	"2 раза в неделю"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5vzf023tvyjofkkf7w5a"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери влажная уборка"	"2 раза в неделю"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5v4r0239vyjo7mdoe3hf"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Двери влажная уборка"	"Ежедневно локально"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5nyc01ylvyjonx4zhtbz"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери влажная уборка"	"Ежемесячно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5ll301x1vyjoae967p8j"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Двери влажная уборка"	"Еженедельно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5qeh0207vyjoz7q4n09z"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери влажная уборка"	"Еженедельно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5ri4020xvyjo33ou38pg"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Двери влажная уборка"	"1 раз в неделю (локально)"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5r2w020nvyjobphvjm40"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери влажная уборка"	"1 раз в неделю (локально)"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5ujh022vvyjo01sdwg58"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Двери влажная уборка"	"Еженедельно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5s0d0219vyjoy6r0e0oh"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Двери влажная уборка"	"Еженедельно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5tfz0225vyjo3cf5x4ir"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Двери влажная уборка"	"Ежемесячно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5p7y01zfvyjod31shto6"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Двери влажная уборка"	"1 раз в неделю (локально)"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5n9y01y5vyjomx08bzqc"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Двери влажная уборка"	"Еженедельно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5mch01xjvyjofco0xekv"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери влажная уборка"	"1 раз в неделю (локально)"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5mrq01xtvyjo211mbudj"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери влажная уборка"	"1 раз в неделю (локально)"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5wqu024bvyjomof0ds8d"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Двери влажная уборка"	"Ежедневно локально"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5ojm01yzvyjoo6js1ysv"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Двери влажная уборка"	"Ежемесячно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5yxy025rvyjo5xgdk180"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Двери влажная уборка"	"1 раз в неделю (локально)"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu601g026hvyjoo66mk5qz"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Двери влажная уборка"	"Ежемесячно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5son021pvyjoet1y5spi"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Двери влажная уборка"	"Ежемесячно"	"Уборка"	"Двери влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu445y00yjvyjoyx1mgslw"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Двери - Удаление загрязнений"	"Ежемесячно"	"Уборка"	"Двери - Удаление загрязнений"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5pza01zxvyjofy6h1jg1"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Душ напольное покрытие"	"Ежедневно"	"Уборка"	"Душ напольное покрытие"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5l5w01wrvyjo5nigfvve"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Душ напольное покрытие"	"Ежедневно"	"Уборка"	"Душ напольное покрытие"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5usl0231vyjocd4fvuo2"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Душ напольное покрытие"	"Ежедневно (1 раз в день)"	"Уборка"	"Душ напольное покрытие"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5pe101zjvyjohgu3h0fx"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Ежедневная влажная уборка"	"Ежедневно"	"Уборка"	"Ежедневная влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu60go026rvyjo6walafct"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Ежедневная сухая уборка"	"Ежедневно"	"Уборка"	"Ежедневная сухая уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5q5d0201vyjoqniqear6"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Замена мусорных пакетов"	"Ежедневно"	"Уборка"	"Замена мусорных пакетов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5r5x020pvyjosua2cfc1"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Замена мусорных пакетов"	"Ежедневно"	"Уборка"	"Замена мусорных пакетов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5mfj01xlvyjo7fns8g53"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Замена мусорных пакетов"	"Ежедневно"	"Уборка"	"Замена мусорных пакетов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5lbz01wvvyjor4wa557o"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Замена мусорных пакетов"	"Ежедневно"	"Уборка"	"Замена мусорных пакетов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5ugf022tvyjo2kgf6pf7"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Замена мусорных пакетов"	"Ежедневно (3 раза в день)"	"Уборка"	"Замена мусорных пакетов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5v1q0237vyjod5kplgfl"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Замена мусорных пакетов"	"Ежедневно (до 3 раз)"	"Уборка"	"Замена мусорных пакетов"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5srp021rvyjomlkesto1"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Зеркальные поверхности"	"Ежедневно"	"Уборка"	"Зеркальные поверхности"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5wtv024dvyjo4f1zu0ig"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Зеркальные поверхности"	"Ежедневно"	"Уборка"	"Зеркальные поверхности"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5zg60263vyjovga9a4ib"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Зеркальные поверхности"	"Ежедневно"	"Уборка"	"Зеркальные поверхности"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5o1d01ynvyjof1ifuk0b"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Зеркальные поверхности"	"Ежедневно"	"Уборка"	"Зеркальные поверхности"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5lxa01x9vyjot6qlxuez"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Комнаты для курения"	"Ежедневно"	"Уборка"	"Комнаты для курения"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu43np00y7vyjolsqci7xd"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Комплектация расходными материалами"	"Ежедневно"	"Уборка"	"Комплектация расходными материалами"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5zsc026bvyjo59wgc65a"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Лестница (эстакада) сухая и влажная уборка"	"2 раза в неделю"	"Уборка"	"Лестница (эстакада) сухая и влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5m9f01xhvyjok2pudvi6"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Модули пол влажная уборка"	"2 раза в неделю (по мере необходимости)"	"Уборка"	"Модули пол влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5qzu020lvyjoov5x68zd"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Модули пол влажная уборка"	"2 раза в неделю (по мере необходимости)"	"Уборка"	"Модули пол влажная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5qws020jvyjo2sjh42my"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Модули пол сухая уборка"	"2 раза в неделю"	"Уборка"	"Модули пол сухая уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5m6e01xfvyjokdporg8m"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Модули пол сухая уборка"	"2 раза в неделю"	"Уборка"	"Модули пол сухая уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5rr90213vyjo2k85eftg"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Мытье окон"	"2 раза в год (доступные окна)"	"Уборка"	"Мытье окон"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5x61024lvyjo2pf5mubv"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Центральный вход"	"Мытье окон"	"Ежеквартально (при наличии)"	"Уборка"	"Мытье окон"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5v7t023bvyjoox9lbbq5"
"cmgyu5za3025zvyjooxssiz9p"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Туалеты"	"Мытье окон"	"1 раз в квартал (доступные окна)"	"Уборка"	"Мытье окон"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5tv5022fvyjo0ohfm19n"
"cmgyu5n0u01xzvyjor9lhnr08"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Мытье окон"	"2 раза в год (доступные окна)"	"Уборка"	"Мытье окон"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5vwd023rvyjouu02w39y"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Эвакуационный выход (фойе)"	"Мытье окон технологической вставки"	"Ежеквартально"	"Уборка"	"Мытье окон технологической вставки"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5w8k023zvyjoe1hbpv2p"
"cmgyu5qhj0209vyjoiymq5jdl"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Наполнение расходными принадлежностями (мыло, бумажные полотенца)"	"3 раза в день (3 раз в 16:00)"	"Уборка"	"Наполнение расходными принадлежностями (мыло, бумажные полотенца)"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5lo501x3vyjoq8ze4s4d"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Наполнение расходными принадлежностями (мыло, бумажные полотенца)"	"3 раза в день (3 раз в 16:00)"	"Уборка"	"Наполнение расходными принадлежностями (мыло, бумажные полотенца)"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5umi022xvyjo74yww656"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Технологическая вставка"	"Наполнение расходными принадлежностями (мыло, бумажные полотенца)"	"3 раза в день (3 раз в 16:00)"	"Уборка"	"Наполнение расходными принадлежностями (мыло, бумажные полотенца)"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5vh5023hvyjo9v6v88dv"
"cmgyu5ycm025dvyjogs51abpy"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"Напольная поверхность (бетонный пол) вдоль рельсовых путей передаточных телег, около АБК 1 пролета и эстакады влажная механизированная уборка"	"Еженедельно"	"Уборка"	"Напольная поверхность (бетонный пол) вдоль рельсовых путей передаточных телег, около АБК 1 пролета и эстакады влажная механизированная уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
"cmgyu5y6j0259vyjowbr9id9p"	"Акционерное общество “ТЯЖМАШ” АО “ТЯЖМАШ"	"Душевые"	"напольная сухая уборка"	"Ежедневно локально"	"Уборка"	"напольная сухая уборка"	"cmgyu5kkn01wfvyjoha61m1ck"	"cmgyu5upk022zvyjowyb34y3f"
