id	objectName	roomName	taskName	frequency	workType	description	objectId	roomId
"cmgzbb73m007hvy9szpm2cfnh"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Мех мастерская"	"Влажная обработка столов и шкафов"	"Еженедельно"	"CLEANING"	"Влажная обработка столов, шкафов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbaw860005vy9sbrnyn1ut"
"cmgzbb5pv006jvy9sn4an72rn"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Внешняя территория"	"Влажная протирка столов и стульев"	"Ежедневно"	"CLEANING"	"Влажная протирка столов, ограждений на столах, стульев"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb40m005dvy9sv9it8wk9"
"cmgzb2svg0013vy7sclgxmcfd"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Котельная и компрессорные"	"Влажная санитарная обработка дез.ковриков"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка, замена средства дез.ковриков"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbay0a0019vy9so7mwlsbh"
"cmgzb2s7u000nvy7smeqbcqt7"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Офисы склада"	"Влажная санитарная обработка дренажей"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка дренажей и дренажных решеток"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb07m002rvy9st1orqfo4"
"cmgzb2sjn000vvy7sg2462r0w"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Туалеты и санузлы"	"Влажная санитарная обработка емкостей для промывки глаз"	"Еженедельно"	"DISINFECTION"	"Влажная санитарная обработка емкостей для промывки глаз"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5os20005vy7ov8ldw5a3"
"cmgzbaxiq000xvy9skclty0iw"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната охраны"	"Влажная санитарная обработка инвентаря"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка инвентаря после проведения уборки"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb79e007jvy9s8es5lwf1"
"cmgzbawpm000dvy9s0op0incn"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Коридоры и холлы"	"Влажная санитарная обработка инвентаря"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка инвентаря после проведения уборки"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzb5st4002jvy7ojuvb0ot0"
"cmgzb2t4b0019vy7stf5wfr3a"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Комната охраны"	"Влажная санитарная обработка инвентаря"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка инвентаря после проведения уборки в конце смены"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb79e007jvy9s8es5lwf1"
"cmgzbaybx001hvy9sfdu8be20"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Основной склад"	"Влажная санитарная обработка инвентаря"	"Ежедневно"	"DISINFECTION"	"Влажная санитарная обработка инвентаря после проведения уборки"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbayz9001xvy9su6xpa0mz"
"cmgzb2sdp000rvy7s50642bps"	"ООО «ПепсиКо Холдингс» 1 515 кв. м."	"Обеденный зал"	"Влажная санитарная обработка лестниц и платформ"	"Еженедельно"	"DISINFECTION"	"Влажная санитарная обработка лестниц, платформ и трапов"	"cmgzb2qtl0001vy7s2wczkws4"	"cmgzbb58e0067vy9s24pq97f7"
